grid,qtr,yr,fat,events,temp,x,precip,gdpg,gdp,ag,lstock,tlag1q,plag1yr,lat,long,tlag1yr,plag1yr,nights,lstock2,adjTmp,adjPrecip,fatn,thresh10
113,1,2009,[],[],30.80000114,[],39,0.083533442,49900000,11046155.59,920199.22,27.5,0,196,376,30.60000038,39,0.0912102,920199.22,0.67792284,31.37759734,0,0
113,2,2009,[],[],27.20000076,[],200,0.083533442,49900000,11046155.59,920199.22,30.60000038,6,196,376,26.89999962,167.1000061,0.0912102,920199.22,-2.03571399,81.10811477,0,0
113,3,2009,[],[],26.60000038,[],300.6000061,0.083533442,49900000,11046155.59,920199.22,28,168,196,376,26.5,284.2000122,0.0912102,920199.22,-0.280844088,135.5337698,0,0
113,4,2009,[],[],27.70000076,[],2,0.083533442,49900000,11046155.59,920199.22,26.10000038,439.3999939,196,376,27.39999962,2,0.0912102,920199.22,3.916558778,1.954545455,0,0
113,1,2010,[],[],31.30000114,[],0,0.095397859,54600000,11683896.37,979564.05,27.20000076,0,196,376,30.80000114,39,0.0888148,979564.05,1.17792284,-7.622402664,0,0
113,2,2010,[],[],27.10000038,[],128.1000061,0.095397859,54600000,11683896.37,979564.05,31.30000114,6,196,376,27.20000076,200,0.0888148,979564.05,-2.13571437,9.208120868,0,0
113,3,2010,[],[],26,[],218.3000031,0.095397859,54600000,11683896.37,979564.05,28.70000076,175.8000031,196,376,26.60000038,300.6000061,0.0888148,979564.05,-0.880844468,53.23376683,0,0
113,4,2010,[],[],26.80000114,[],2,0.095397859,54600000,11683896.37,979564.05,26,235,196,376,27.70000076,2,0.0888148,979564.05,3.016559158,1.954545455,0,0
113,1,2011,[],[],31,[],0,0.053079242,57500000,12017192,999404.04,28,49.29999924,196,376,31.30000114,0,0.0833982,999404.04,0.8779217,-7.622402664,0,0
113,2,2011,100,1,27,12,84.20000458,0.053079242,57500000,12017192,999404.04,30.20000076,4.599999905,196,376,27.10000038,128.1000061,0.0833982,999404.04,-2.23571475,-34.69188065,100,1
113,3,2011,[],[],26.39999962,[],262,0.053079242,57500000,12017192,999404.04,28.30000114,186.4000092,196,376,26,218.3000031,0.0833982,999404.04,-0.480844848,96.93376373,0,0
113,4,2011,[],[],25.89999962,[],2,0.053079242,57500000,12017192,999404.04,25.89999962,145,196,376,26.80000114,2,0.0833982,999404.04,2.116557638,1.954545455,0,0
113,1,2012,[],[],30.10000038,[],0,0.042058902,59900000,12919542.05,972762.79,27.10000038,14,196,376,31,0,0.0819339,972762.79,-0.02207792,-7.622402664,0,0
113,2,2012,[],[],26.20000076,[],200,0.042058902,59900000,12919542.05,972762.79,30,0,196,376,27,84.20000458,0.0819339,972762.79,-3.03571399,81.10811477,0,0
113,3,2012,[],[],26.10000038,[],334.6000061,0.042058902,59900000,12919542.05,972762.79,27.39999962,168,196,376,26.39999962,262,0.0819339,972762.79,-0.780844088,169.5337698,0,0
113,4,2012,[],[],26.89999962,[],2,0.042058902,59900000,12919542.05,972762.79,25.39999962,235,196,376,25.89999962,2,0.0819339,972762.79,3.116557638,1.954545455,0,0
113,1,2013,[],[],31.80000114,[],0,0.054877934,63200000,13247801.8,1030937.33,28,0,196,376,30.10000038,0,0.0792973,1030937.33,1.67792284,-7.622402664,0,0
113,2,2013,[],[],27,[],271.3000183,0.054877934,63200000,13247801.8,1030937.33,30,0,196,376,26.20000076,200,0.0792973,1030937.33,-2.23571475,152.4081331,0,0
113,3,2013,7,3,26.5,12,227.1000061,0.054877934,63200000,13247801.8,1030937.33,28,57.29999924,196,376,26.10000038,334.6000061,0.0792973,1030937.33,-0.380844468,62.03376983,7,0
113,4,2013,[],[],27.20000076,[],2,0.054877934,63200000,13247801.8,1030937.33,25.39999962,196.3000031,196,376,26.89999962,2,0.0792973,1030937.33,3.416558778,1.954545455,0,0
113,1,2014,[],[],30.89999962,[],0,0.062229416,67200000,13793450.01,1086847,27.80000114,0,196,376,31.80000114,0,0.0813335,1086847,0.77792132,-7.622402664,0,0
113,2,2014,1,1,27.60000038,12,162,0.062229416,67200000,13793450.01,1086847,29.60000038,0,196,376,27,271.3000183,0.0813335,1086847,-1.63571437,43.10811477,1,0
113,3,2014,0,1,26.20000076,12,380.7000122,0.062229416,67200000,13793450.01,1086847,27.89999962,191.8000031,196,376,26.5,227.1000061,0.0813335,1086847,-0.680843708,215.6337759,0,0
113,4,2014,2,3,27,12,2,0.062229416,67200000,13793450.01,1086847,25.60000038,219.3000031,196,376,27.20000076,2,0.0813335,1086847,3.216558018,1.954545455,2,0
113,1,2015,120,8,30.80000114,12,70.59999847,0.027863983,69000000,14274936.74,1151323.39,28,0,196,376,30.89999962,0,0.0762499,1151323.39,0.67792284,62.97759581,120,1
113,2,2015,61,3,27.70000076,12,295.2000122,0.027863983,69000000,14274936.74,1151323.39,30.10000038,0,196,376,27.60000038,162,0.0762499,1151323.39,-1.53571399,176.308127,61,1
113,3,2015,28,6,26.39999962,12,195.3000031,0.027863983,69000000,14274936.74,1151323.39,29,147.8000031,196,376,26.20000076,380.7000122,0.0762499,1151323.39,-0.480844848,30.23376683,28,1
113,4,2015,4,1,25.39999962,12,2,0.027863983,69000000,14274936.74,1151323.39,26.10000038,270.5,196,376,27,2,0.0762499,1151323.39,1.616557638,1.954545455,4,0
114,1,2009,[],[],31,[],38,0.083533442,49900000,11046155.59,920199.22,27.5,0,196,378,30.89999962,29.5,0.0912102,920199.22,0.8779217,30.37759734,0,0
114,2,2009,[],[],27.80000114,[],187.6000061,0.083533442,49900000,11046155.59,920199.22,30.5,2,196,378,27.5,168.6999969,0.0912102,920199.22,-1.43571361,68.70812087,0,0
114,3,2009,[],[],27.20000076,[],263.8000183,0.083533442,49900000,11046155.59,920199.22,28.20000076,218.5,196,378,27.10000038,259.2000122,0.0912102,920199.22,0.319156292,98.73378203,0,0
114,4,2009,[],[],27.10000038,[],0,0.083533442,49900000,11046155.59,920199.22,27.10000038,399.3999939,196,378,27.10000038,0,0.0912102,920199.22,3.316558398,-0.045454545,0,0
114,1,2010,0,6,31.5,12,3.700000048,0.095397859,54600000,11683896.37,979564.05,27.20000076,2.200000048,196,378,31,38,0.0888148,979564.05,1.3779217,-3.922402616,0,0
